condition,convo,subID,enjoy,connected,timingFirstClick,timingLastClick,timingPageSubmit,timingClickCount,comments,enjoy_centered,connected_centered
long,D,177,95,96,12.335,38.605,40.104,4,,30.33333333333333,33.166666666666664
long,D,183,68,44,29.193,32.019,34.074,2,,-3.8333333333333286,-21.33333333333333
long,D,185,56,48,28.261,30.326,31.54,2,,3.8333333333333357,2.5
long,D,187,41,29,56.24100000000001,78.577,80.24,5,,-10.5,-8.0
long,D,191,87,76,17.165,23.989,63.191,6,,4.0,-5.166666666666671
long,D,195,9,0,13.511,21.908,26.500999999999998,3,,-14.833333333333332,-13.666666666666666
long,D,197,86,70,14.154000000000002,29.69,30.035,6,good voice,0.1666666666666714,-0.8333333333333286
long,D,199,72,40,6.98,25.364,29.049,5,,2.3333333333333286,-15.166666666666664
long,D,203,59,43,31.314,38.429,40.211999999999996,2,,5.5,0.0
long,D,205,76,57,9.94,25.176,29.22,3,,3.1666666666666714,-7.166666666666671
long,D,215,91,80,31.051,45.263000000000005,46.663000000000004,4,audio is very clear,3.6666666666666714,-9.5
long,D,216,79,78,52.763999999999996,54.958999999999996,63.961999999999996,3,audio is very clear,-5.166666666666671,-0.6666666666666714
long,D,217,42,6,74.808,76.718,78.429,2,,-4.0,-25.833333333333332
long,D,218,56,55,28.74,31.866,33.194,2,,-5.166666666666664,-3.6666666666666643
long,D,219,57,38,28.0,29.4,30.493000000000002,4,,-0.8333333333333357,-7.833333333333336
long,D,221,59,59,54.731,57.551,61.111999999999995,3,good,0.0,-5.166666666666671
long,D,227,72,70,31.11,32.049,32.803000000000004,2,,-7.166666666666671,-9.5
long,D,232,83,76,6.93,13.6,24.875999999999998,3,none,1.8333333333333286,-2.0
long,D,235,39,23,35.725,143.207,145.571,4,,-26.0,-35.5
long,D,236,61,56,7.068,16.608,25.182,4,,0.3333333333333357,0.0
long,D,237,19,11,20.372,24.421999999999997,25.598000000000003,2,,-30.833333333333336,-32.0
long,D,238,72,83,9.904,20.558000000000003,26.435,6,,6.333333333333329,12.5
long,D,246,34,28,19.944000000000003,26.648000000000003,28.759,3,,-33.5,-35.166666666666664
long,D,248,43,26,16.833,19.31,31.497,3,,-10.166666666666664,-22.666666666666664
long,D,250,51,51,10.943,14.349,16.615,3,,3.0,7.333333333333336
