subID,partnerID,num_turns_convo,num_turns_speaker,mean_gap_convo,median_gap_convo,mean_gap_speaker,median_gap_speaker,mean_gap_partner,median_gap_partner
108,104,228.0,114.0,78.53508771929825,108.5,160.93859649122808,138.5,-3.8684210526315788,74.5
106,108,125.0,62.0,393.416,294.0,534.0967741935484,391.0,254.96825396825398,203.0
108,106,125.0,63.0,393.416,294.0,254.96825396825398,203.0,534.0967741935484,391.0
49,41,133.0,67.0,193.5639097744361,234.0,213.49253731343285,267.0,173.33333333333334,173.5
41,49,133.0,66.0,193.5639097744361,234.0,173.33333333333334,173.5,213.49253731343285,267.0
64,68,112.0,57.0,-181.375,13.0,-218.859649122807,44.0,-142.52727272727273,-10.0
68,64,112.0,55.0,-181.375,13.0,-142.52727272727273,-10.0,-218.859649122807,44.0
29,27,196.0,98.0,246.85714285714286,283.5,183.66326530612244,222.5,310.05102040816325,353.5
27,29,196.0,98.0,246.85714285714286,283.5,310.05102040816325,353.5,183.66326530612244,222.5
68,61,151.0,75.0,-170.1456953642384,-7.0,-344.9066666666667,-178.0,2.3157894736842106,138.5
61,68,151.0,76.0,-170.1456953642384,-7.0,2.3157894736842106,138.5,-344.9066666666667,-178.0
1,3,212.0,109.0,176.52830188679246,260.0,140.4862385321101,233.0,214.66990291262135,267.0
3,1,212.0,103.0,176.52830188679246,260.0,214.66990291262135,267.0,140.4862385321101,233.0
61,66,101.0,51.0,52.68316831683168,246.0,3.7450980392156863,246.0,102.6,244.0
66,61,101.0,50.0,52.68316831683168,246.0,102.6,244.0,3.7450980392156863,246.0
28,29,46.0,23.0,171.08695652173913,267.5,96.08695652173913,160.0,246.08695652173913,286.0
29,28,46.0,23.0,171.08695652173913,267.5,246.08695652173913,286.0,96.08695652173913,160.0
20,30,249.0,125.0,37.630522088353416,147.0,60.44,152.0,14.637096774193548,145.5
30,20,249.0,124.0,37.630522088353416,147.0,14.637096774193548,145.5,60.44,152.0
1,7,259.0,130.0,204.66795366795367,228.0,193.35384615384615,221.0,216.06976744186048,228.0
