condition,convo,subID,enjoy,connected,timingFirstClick,timingLastClick,timingPageSubmit,timingClickCount,comments
long,B,358,84,100,70.037,72.844,185.246,3,
long,B,359,81,67,22.531,26.792,28.864,3,
long,B,365,80,92,3.514,6.276,46.384,4, very nice
long,B,367,72,65,18.659,27.384,28.312,4,
long,B,372,59,43,1.477,35.997,37.59,7,
long,B,373,48,44,31.305,35.025,36.08,3,
long,B,375,60,58,5.631,8.934,12.465,3,good
long,B,378,70,90,4.28,15.339,24.704,9,
long,B,379,80,72,28.323,31.181,34.602,2,
long,B,388,51,42,5.422,30.285,31.979,4,
long,B,389,63,64,17.721,29.909,31.564,2,
long,B,392,45,45,131.897,136.826,138.53,2,
long,B,396,63,56,32.27,38.806,40.258,4,
long,B,399,76,93,2.928,4.978,27.397,3,Very like to the audio
long,B,401,50,27,2.918,39.412,69.948,3,
long,B,402,48,43,20.196,28.148,29.273,2,
long,B,404,91,74,4.258,6.799,8.427,4,
long,B,410,15,26,3.782,5.168,33.115,2,
long,B,413,89,93,6.356,8.714,39.222,2,
long,B,417,91,91,34.524,37.46,40.799,3,Nice
long,B,420,41,3,14.27,25.301,28.544,6,
long,B,423,88,79,34.564,35.935,37.603,2,
long,B,425,42,32,83.942,89.854,91.012,6,
long,B,426,84,70,39.516,42.081,43.381,3,
long,B,429,57,37,1.335,33.046,36.199,3,
long,B,432,84,89,8.778,11.581,35.128,3,best of thoughts on audio
long,B,434,52,30,27.211,30.157,33.688,3,
long,B,438,48,28,16.805,30.597,31.533,6,
long,B,442,98,88,3.069,7.902,25.995,8,interesting 
long,B,445,76,75,61.684,74.796,75.574,4,very hard to hear.
long,C,11,78,71,27.817,38.2,39.048,2,
long,C,12,31,48,7.16,10.255,14.403,2,
long,C,17,56,75,6.788,7.846,24.48,2,
long,C,22,65,66,10.444,21.277,27.965,2,
long,C,23,87,75,15.899,23.825,41.192,10,
long,C,25,49,56,9.85,18.529,46.215,3,
