subID,partnerID,convo_flow,convo_enjoy,speak,common,similar,attractive,attracted_to,extraverted,fun,disclosed,comfortable,extraverted_self,fun_self,disclosed_self,comfortable_self,friends_years,friends_years_extended,friends_talk,friends_nature,gender
23,257,74,64,52,70,17,81,82,27,56,33,72,33,35,32,76,1,,100,68,1
257,23,63,73,56,60,58,79,80,51,58,33,68,36,44,25,72,1,,100,74,2
4,258,98,98,34,98,92,94,86,89,89,91,92,94,75,38,100,3.1,,100,97,1
258,4,100,100,51,70,37,67,0,100,100,67,100,100,100,100,100,2,,100,100,1
107,259,100,100,57,89,92,86,28,69,97,86,100,82,74,92,100,0.7,,80,87,2
259,107,95,83,46,41,71,84,7,96,92,59,97,58,38,16,82,0.6,,100,68,1
23,260,100,86,51,100,59,100,72,100,100,25,100,100,100,22,100,1,,100,100,1
260,23,80,93,79,94,62,89,52,74,93,76,95,90,88,65,96,1.5,,99,90,1
85,261,92,94,51,85,76,65,9,60,77,16,76,63,70,16,100,2,,70,68,2
261,85,85,92,37,93,95,100,0,74,85,29,89,65,73,31,85,1.8,,56,58,2
68,262,96,96,24,67,37,94,0,100,100,100,100,13,55,57,100,1.3,,93,68,1
262,68,100,92,69,72,59,100,39,38,85,69,93,79,74,100,100,2,,100,84,1
68,263,98,77,44,26,0,72,0,100,64,0,71,41,48,0,67,2,,60,65,1
263,68,90,97,85,65,25,100,5,24,100,29,61,95,52,55,97,2.5,,91,83,1
68,264,43,46,31,27,37,65,0,77,60,8,42,30,29,0,36,1.5,,30,32,1
264,68,78,88,91,75,76,96,68,72,81,65,70,38,36,89,72,2,,74,70,1
4,265,44,44,29,41,33,63,18,66,54,76,80,36,57,24,57,3.1,,51,60,1
265,4,69,63,68,90,64,96,25,57,62,54,61,100,46,99,97,2.7,,69,87,1
