subID,partnerID,convo_flow,convo_enjoy,friends,speak,knew_before,knew_before_text,know_now,common,similar,attractive,attracted_to,extraverted,fun,disclosed,comfortable,extraverted_self,fun_self,disclosed_self,comfortable_self,length_self,length_partner,convo_order,round_robin_num
107,102,98,96,86,55,25,We took a First Aid class together and interact in random passings.,42,69,60,16,0,48,75,50,81,51,45,53,88,69,80,3,6
107,104,75,76,39,51,0,,18,42,56,15,3,41,41,36,55,22,23,28,62,34,41,4,6
107,106,71,70,64,72,0,,24,59,29,5,0,37,66,65,64,55,41,71,64,37,31,5,6
107,109,89,91,74,32,0,,51,76,50,15,0,58,100,82,73,43,42,75,75,67,73,6,6
107,100,77,80,75,51,0,,19,57,62,68,33,71,78,33,66,39,37,55,60,56,40,7,6
107,108,73,73,71,50,0,,16,30,46,71,22,61,56,58,60,58,62,59,64,50,49,8,6
107,110,96,99,88,49,0,,26,77,77,86,75,90,100,63,97,96,96,69,88,73,48,9,6
107,105,49,41,82,81,50,He is my floormate.,53,39,34,61,3,22,38,25,22,67,43,35,59,42,43,10,6
108,109,60,75,26,42,0,,33,24,0,30,0,0,58,78,79,63,81,31,86,59,64,1,6
108,101,77,82,61,73,0,,50,37,29,41,0,62,69,69,78,84,71,63,85,60,60,2,6
108,106,32,56,15,60,0,,30,12,3,33,0,32,46,61,63,65,61,40,77,57,36,3,6
108,103,65,68,40,60,0,,32,41,29,32,0,62,75,41,59,60,55,25,60,42,41,4,6
108,105,63,64,55,54,0,,38,39,45,75,1,60,62,21,62,58,36,18,48,36,38,5,6
108,102,77,88,38,54,0,,69,43,33,37,0,68,74,72,64,64,78,35,65,37,40,6,6
108,110,95,92,79,64,0,,58,59,77,77,0,96,77,36,91,81,65,57,85,75,68,7,6
108,100,89,68,41,60,0,,59,39,72,61,0,79,80,32,80,68,80,39,85,71,80,8,6
108,107,78,77,60,69,0,,34,61,66,61,0,96,91,32,76,63,61,34,76,61,77,9,6
108,104,91,87,74,62,8,saw him before a session,60,68,77,83,0,71,86,63,79,75,73,39,73,66,63,10,6
109,108,79,49,49,40,10,same stats class last winter,28,18,19,83,13,92,51,52,52,53,32,32,45,51,51,1,6
109,104,76,62,51,79,0,,25,50,48,66,0,41,53,26,44,68,51,48,52,50,50,2,6
109,105,64,73,66,91,0,,21,35,49,72,0,50,51,9,52,87,53,54,57,32,31,3,6
109,103,97,91,72,76,0,,25,77,80,68,0,4,79,17,60,89,86,21,87,77,69,4,6
109,110,100,100,100,64,3,same psych class,31,71,73,89,0,71,76,36,89,81,85,30,79,76,78,5,6
109,102,85,86,78,74,4,same neuro class,34,69,59,72,0,54,76,22,61,82,76,51,72,61,62,6,6
109,107,85,77,63,87,0,,18,56,42,73,0,70,76,23,60,79,60,62,67,51,51,7,6
109,106,79,78,0,52,35,i used to be in the same club as him,36,0,0,23,0,50,100,21,37,82,67,31,50,49,26,8,6
109,100,70,64,58,55,10,same classes,34,49,50,78,0,60,68,10,61,61,63,23,56,34,34,9,6
109,101,22,19,0,100,0,,1,0,0,22,0,5,0,4,10,50,23,51,51,6,6,10,6
110,101,92,89,90,56,82,friend ,84,89,89,7,0,71,72,41,99,80,80,27,92,68,75,1,6
110,103,61,59,62,57,0,,9,19,28,25,0,21,41,8,11,60,62,11,31,49,11,2,6
110,102,30,29,11,70,0,,4,5,10,13,0,11,12,10,0,64,61,11,28,13,9,3,6
110,109,84,84,82,33,0,,24,77,75,9,0,64,78,30,63,66,63,10,77,70,65,4,6
110,104,74,65,63,44,0,,6,30,64,17,0,57,57,19,52,55,44,5,27,35,33,5,6
110,106,65,60,63,61,0,,16,58,59,8,0,31,59,5,57,60,55,38,61,36,34,6,6
110,108,64,59,55,57,0,,8,57,55,33,0,59,59,18,12,58,59,19,57,15,21,7,6
110,107,72,68,63,61,0,,12,56,60,5,0,61,66,15,24,62,59,10,58,24,14,8,6
110,100,61,58,56,60,0,,6,20,33,25,0,38,55,10,13,59,37,0,60,26,12,9,6
110,105,0,0,0,75,0,,0,5,0,22,0,0,0,0,0,62,33,19,0,0,0,10,6
